DateTime,Pose,TimeHeldSeconds,CaloriesBurned
2025-05-26 16:27:23,Tree Pose,0,0.0
2025-05-26 16:27:30,Tree Pose,0,0.0
2025-05-26 16:28:13,Tree Pose,22.42,1.12
2025-05-26 16:29:03,Warrior 2 Pose,0.79,0.04
2025-05-26 16:29:15,Warrior 2 Pose,12.18,0.67
2025-05-26 16:30:01,Warrior 2 Pose,12.77,0.64
2025-05-26 16:30:31,T Pose,3.0,0.15
2025-05-26 16:30:35,T Pose,3.43,0.17
2025-05-26 16:30:43,T Pose,7.79,0.39
2025-05-26 16:38:30,Warrior 2 Pose,11.35,0.62
2025-05-26 17:56:36,Warrior 1 Pose,0.06,0.0
2025-05-26 18:03:14,Warrior 1 Pose,0,0.0
2025-05-26 18:06:13,Triangle Pose,0.0,0.0
2025-05-26 18:06:13,Triangle Pose,0.0,0.0
2025-05-26 18:06:13,Triangle Pose,0.39,0.03
2025-05-26 18:06:14,Triangle Pose,0.72,0.05
2025-05-26 18:06:15,Triangle Pose,0.48,0.03
2025-05-26 18:06:15,Triangle Pose,0.0,0.0
2025-05-26 18:06:18,Triangle Pose,1.6,0.1
2025-05-26 18:06:19,Triangle Pose,1.49,0.1
2025-05-26 18:06:20,Triangle Pose,0.1,0.01
2025-05-26 18:06:20,Triangle Pose,0,0.0
2025-05-26 18:06:23,Triangle Pose,0.38,0.02
2025-05-26 18:06:51,Side Stretch,0.0,0.0
2025-05-26 18:22:39,Warrior 1 Pose,0.0,0.0
2025-05-26 18:22:46,Warrior 1 Pose,0,0.0
2025-05-26 18:22:47,Warrior 1 Pose,0.18,0.01
2025-05-26 18:22:56,Warrior 1 Pose,0.0,0.0
2025-05-26 18:22:57,Warrior 1 Pose,0.07,0.01
2025-05-26 18:23:00,Warrior 1 Pose,0,0.0
2025-05-26 18:23:03,Warrior 1 Pose,0,0.0
2025-05-26 18:23:05,Warrior 1 Pose,0,0.0
2025-05-26 18:23:30,Warrior 1 Pose,0,0.0
2025-05-26 18:24:59,Warrior 1 Pose,0,0.0
2025-05-26 18:25:02,Warrior 1 Pose,0.01,0.0
2025-05-26 18:25:20,Warrior 1 Pose,0,0.0
2025-05-26 18:25:20,Warrior 1 Pose,0.15,0.01
2025-05-26 18:25:21,Warrior 1 Pose,0.26,0.02
2025-05-26 18:25:23,Warrior 1 Pose,1.58,0.12
2025-05-26 18:25:23,Warrior 1 Pose,0.08,0.01
2025-05-26 18:25:24,Warrior 1 Pose,0.11,0.01
2025-05-26 18:25:24,Warrior 1 Pose,0.49,0.04
2025-05-26 18:25:25,Warrior 1 Pose,0.19,0.01
2025-05-26 18:25:26,Warrior 1 Pose,0.32,0.02
2025-05-26 18:25:27,Warrior 1 Pose,0.29,0.02
2025-05-26 18:25:27,Warrior 1 Pose,0,0.0
2025-05-26 18:25:28,Warrior 1 Pose,0,0.0
2025-05-26 18:49:56,Warrior 1 Pose,0,0.0
2025-05-26 18:49:57,Warrior 1 Pose,0.25,0.02
2025-05-26 18:49:58,Warrior 1 Pose,0.27,0.02
2025-05-26 18:49:58,Warrior 1 Pose,0,0.0
2025-05-26 18:49:59,Warrior 1 Pose,0.55,0.04
2025-05-26 18:49:59,Warrior 1 Pose,0.22,0.02
2025-05-26 18:50:01,Warrior 1 Pose,1.02,0.08
2025-05-26 18:50:01,Warrior 1 Pose,0.36,0.03
2025-05-26 18:50:02,Warrior 1 Pose,0.84,0.06
